"","x"
"828","CSDE1"
"829","SIKE1"
"830","TSPAN2"
"831","VANGL1"
"832","SLC22A15"
"833","ATP1A1"
"834","AL390066.1"
"835","CD58"
"836","CD2"
"837","PTGFRN"
"838","CD101"
"839","TTF2"
"840","MAN1A2"
"841","AL157902.1"
"842","TENT5C"
"843","GDAP2"
"844","WDR3"
"845","WARS2"
"846","AL359915.2"
"847","PHGDH"
"848","NOTCH2"
"849","SEC22B"
"850","NBPF26"
"851","LINC00623"
"852","FAM72B"
"853","SRGAP2C"
"854","AC244021.1"
"855","AC239800.2"
"856","AC239800.3"
"857","AC245595.1"
"858","AC246785.3"
"859","NBPF15"
"860","SRGAP2B"
"861","AC245014.3"
"862","AC245014.1"
"863","NBPF20"
"864","GPR89A"
"865","CD160"
"866","RNF115"
"867","POLR3C"
"868","NUDT17"
"869","PIAS3"
"870","ANKRD35"
"871","ITGA10"
"872","PEX11B"
"873","RBM8A"
"874","LIX1L-AS1"
"875","LIX1L"
"876","ANKRD34A"
"877","AC243547.2"
"878","POLR3GL"
"879","TXNIP"
"880","NBPF10"
"881","NOTCH2NL"
"882","NBPF12"
"883","PRKAB2"
"884","AC242426.2"
"885","FMO5"
"886","CHD1L"
"887","LINC00624"
"888","BCL9"
"889","ACP6"
"890","GPR89B"
"891","NBPF11"
"892","PPIAL4G"
"893","NBPF14"
"894","NUDT4B"
"895","PDE4DIP"
"896","NBPF9"
"897","AC245297.3"
"898","AC245297.2"
"899","NBPF19"
"900","FCGR1A"
"901","HIST2H2BF"
"902","AC243772.2"
"903","HIST2H3D"
"904","HIST2H4A"
"905","HIST2H2AA3"
"906","HIST2H2AA4"
"907","HIST2H4B"
"908","AC239868.2"
"909","HIST2H2BE"
"910","HIST2H2AC"
"911","HIST2H2AB"
"912","BOLA1"
"913","SV2A"
"914","SF3B4"
"915","MTMR11"
"916","OTUD7B"
"917","VPS45"
"918","PLEKHO1"
"919","ANP32E"
"920","CA14"
"921","APH1A"
"922","C1orf54"
"923","CIART"
"924","MRPS21"
"925","PRPF3"
"926","RPRD2"
"927","TARS2"
"928","ECM1"
"929","FALEC"
"930","ADAMTSL4"
"931","MCL1"
"932","ENSA"
"933","GOLPH3L"
"934","CTSS"
"935","CTSK"
"936","ARNT"
"937","SETDB1"
"938","CERS2"
"939","MINDY1"
"940","PRUNE1"
"941","C1orf56"
"942","CDC42SE1"
"943","MLLT11"
"944","GABPB2"
"945","SEMA6C"
"946","TNFAIP8L2"
"947","SCNM1"
"948","VPS72"
"949","PIP5K1A"
"950","PSMD4"
"951","AL391069.2"
"952","ZNF687"
"953","PI4KB"
"954","RFX5"
"955","AL391069.3"
"956","PSMB4"
"957","POGZ"
"958","CGN"
