"","x"
"736","ALG6"
"737","ITGB3BP"
"738","EFCAB7"
"739","PGM1"
"740","ROR1"
"741","CACHD1"
"742","RAVER2"
"743","JAK1"
"744","AL357078.3"
"745","AL357078.1"
"746","AK4"
"747","DNAJC6"
"748","LEPROT"
"749","LEPR"
"750","AL513493.1"
"751","PDE4B"
"752","SGIP1"
"753","TCTEX1D1"
"754","WDR78"
"755","MIER1"
"756","SLC35D1"
"757","IL12RB2"
"758","SERBP1"
"759","GADD45A"
"760","GNG12"
"761","DIRAS3"
"762","WLS"
"763","RPE65"
"764","DEPDC1"
"765","LRRC7"
"766","LRRC40"
"767","SRSF11"
"768","AL353771.1"
"769","ANKRD13C"
"770","HHLA3"
"771","CTH"
"772","AL354872.2"
"773","PTGER3"
"774","ZRANB2"
"775","NEGR1"
"776","LRRIQ3"
"777","FPGT"
"778","FPGT-TNNI3K"
"779","TNNI3K"
"780","ERICH3"
"781","AC135803.1"
"782","CRYZ"
"783","TYW3"
"784","ACADM"
"785","RABGGTB"
"786","MSH4"
"787","ST6GALNAC3"
"788","AC104458.1"
"789","PIGK"
"790","AK5"
"791","AC118549.1"
"792","USP33"
"793","MIGA1"
"794","NEXN"
"795","FUBP1"
"796","DNAJB4"
"797","GIPC2"
"798","AC103591.3"
"799","IFI44L"
"800","IFI44"
"801","ADGRL2"
"802","TTLL7"
"803","AL359504.2"
"804","PRKACB"
"805","SAMD13"
"806","DNASE2B"
"807","RPF1"
"808","GNG5"
"809","SPATA1"
"810","CTBS"
"811","SSX2IP"
"812","LPAR3"
"813","MCOLN2"
"814","WDR63"
"815","MCOLN3"
"816","SYDE2"
"817","C1orf52"
"818","BCL10"
"819","AL078459.1"
"820","DDAH1"
"821","CYR61"
"822","ZNHIT6"
"823","COL24A1"
"824","AL136382.1"
"825","ODF2L"
"826","AL049597.2"
"827","SH3GLB1"
"828","SELENOF"
"829","HS2ST1"
"830","LINC01140"
"831","LMO4"
"832","PKN2"
"833","GTF2B"
"834","KYAT3"
"835","RBMXL1"
"836","GBP3"
"837","GBP1"
"838","GBP2"
"839","GBP4"
"840","AC099063.4"
"841","GBP5"
"842","LRRC8B"
"843","LRRC8C-DT"
"844","LRRC8C"
"845","AC099568.2"
"846","LRRC8D"
"847","ZNF326"
"848","ZNF644"
"849","HFM1"
"850","CDC7"
"851","TGFBR3"
"852","BTBD8"
"853","GLMN"
"854","RPAP2"
"855","GFI1"
"856","EVI5"
"857","RPL5"
"858","FAM69A"
"859","MTF2"
"860","TMED5"
"861","CCDC18"
"862","DR1"
"863","FNBP1L"
"864","BCAR3"
"865","AL109613.1"
"866","DNTTIP2"
"867","GCLM"
"868","ARHGAP29"
"869","ABCD3"
"870","F3"
"871","SLC44A3"
"872","CNN3"
"873","AC105942.1"
"874","ALG14"
"875","TMEM56"
"876","TMEM56-RWDD3"
"877","RWDD3"
"878","PTBP2"
"879","DPYD"
"880","DPYD-AS1"
"881","SNX7"
"882","PLPPR5"
"883","PLPPR4"
"884","PALMD"
"885","FRRS1"
"886","AGL"
"887","AC118553.1"
"888","SLC35A3"
"889","AC118553.2"
"890","MFSD14A"
"891","SASS6"
"892","TRMT13"
"893","LRRC39"
"894","DBT"
"895","RTCA-AS1"
"896","RTCA"
"897","CDC14A"
"898","VCAM1"
"899","EXTL2"
"900","AC104506.1"
"901","SLC30A7"
"902","DPH5"
"903","AC093157.2"
"904","AC093157.1"
"905","S1PR1"
"906","COL11A1"
"907","RNPC3"
"908","AMY2B"
"909","PRMT6"
"910","NTNG1"
"911","VAV3"
"912","VAV3-AS1"
"913","AL390036.1"
"914","SLC25A24"
"915","AL359258.2"
"916","FAM102B"
"917","HENMT1"
"918","PRPF38B"
"919","FNDC7"
"920","STXBP3"
"921","AKNAD1"
"922","GPSM2"
"923","CLCC1"
"924","WDR47"
"925","TAF13"
"926","AL356488.3"
"927","TMEM167B"
"928","AL356488.2"
"929","KIAA1324"
"930","SARS"
"931","CELSR2"
"932","PSRC1"
"933","MYBPHL"
"934","SORT1"
"935","PSMA5"
"936","ATXN7L2"
"937","CYB561D1"
"938","AMIGO1"
"939","GNAI3"
"940","AMPD2"
"941","GSTM4"
"942","GSTM2"
"943","GSTM1"
"944","AC000032.1"
"945","GSTM5"
"946","GSTM3"
"947","AL450468.2"
"948","CSF1"
"949","AHCYL1"
"950","STRIP1"
"951","AL160006.1"
"952","ALX3"
"953","KCNC4"
"954","RBM15-AS1"
"955","RBM15"
"956","SLC16A4"
"957","AL355488.1"
"958","LAMTOR5"
"959","KCNA2"
"960","AL365361.1"
"961","KCNA3"
"962","CD53"
"963","AL360270.1"
"964","LRIF1"
"965","AL360270.3"
"966","DRAM2"
"967","CEPT1"
"968","AL355816.2"
"969","DENND2D"
"970","CHI3L2"
"971","PIFO"
"972","OVGP1"
"973","WDR77"
"974","ATP5PB"
"975","C1orf162"
"976","TMIGD3"
"977","ADORA3"
"978","RAP1A"
"979","LINC01160"
"980","INKA2"
"981","DDX20"
"982","KCND3"
"983","LINC01750"
"984","CTTNBP2NL"
"985","WNT2B"
"986","AL354760.1"
"987","ST7L"
"988","CAPZA1"
"989","MOV10"
"990","AL603832.1"
"991","RHOC"
"992","PPM1J"
"993","LINC01356"
"994","AL390729.1"
"995","SLC16A1"
"996","SLC16A1-AS1"
"997","AL357055.3"
"998","LRIG2"
"999","MAGI3"
"1000","PHTF1"
"1001","RSBN1"
"1002","PTPN22"
"1003","AP4B1-AS1"
"1004","BCL2L15"
"1005","AP4B1"
"1006","DCLRE1B"
"1007","HIPK1-AS1"
"1008","HIPK1"
"1009","OLFML3"
"1010","SYT6"
"1011","AL121999.1"
"1012","TRIM33"
"1013","BCAS2"
"1014","DENND2C"
"1015","AMPD1"
"1016","NRAS"
"1017","CSDE1"
"1018","SIKE1"
"1019","TSPAN2"
"1020","VANGL1"
"1021","NHLH2"
"1022","SLC22A15"
"1023","MAB21L3"
"1024","ATP1A1"
"1025","LINC01762"
"1026","AL390066.1"
"1027","CD58"
"1028","IGSF3"
"1029","CD2"
"1030","PTGFRN"
"1031","CD101"
"1032","AL445231.1"
"1033","TTF2"
"1034","TRIM45"
"1035","AL358072.1"
"1036","MAN1A2"
"1037","TENT5C"
"1038","GDAP2"
"1039","WDR3"
"1040","TBX15"
"1041","WARS2"
"1042","AL359915.2"
"1043","ZNF697"
"1044","PHGDH"
"1045","ADAM30"
"1046","NOTCH2"
"1047","SEC22B"
"1048","NBPF26"
"1049","LINC00623"
"1050","FCGR1B"
"1051","AC244453.3"
"1052","AC244453.2"
"1053","FAM72B"
"1054","SRGAP2C"
"1055","SRGAP2-AS1"
"1056","AC244021.1"
"1057","AL592494.3"
"1058","AC239800.2"
"1059","AC239800.3"
"1060","AC239798.2"
"1061","FAM72C"
"1062","AC245595.1"
"1063","AC246785.3"
"1064","NBPF15"
"1065","FP700111.1"
"1066","SRGAP2B"
"1067","FAM72D"
"1068","AC245014.3"
"1069","NBPF20"
"1070","GPR89A"
"1071","PDZK1"
"1072","CD160"
"1073","RNF115"
"1074","POLR3C"
"1075","NUDT17"
"1076","PIAS3"
"1077","ANKRD35"
"1078","ITGA10"
"1079","PEX11B"
"1080","RBM8A"
"1081","LIX1L-AS1"
"1082","LIX1L"
"1083","ANKRD34A"
"1084","POLR3GL"
"1085","TXNIP"
"1086","LINC01719"
"1087","NBPF10"
"1088","NOTCH2NL"
"1089","AC239799.2"
"1090","NBPF12"
"1091","PRKAB2"
"1092","AC242426.2"
"1093","FMO5"
"1094","CHD1L"
"1095","LINC00624"
"1096","BCL9"
"1097","ACP6"
"1098","GPR89B"
"1099","AC239803.2"
"1100","AC239803.3"
"1101","NBPF11"
"1102","AC239809.3"
"1103","PPIAL4G"
"1104","NBPF14"
"1105","NUDT4B"
"1106","PDE4DIP"
"1107","AC239802.2"
"1108","AC239804.1"
"1109","NBPF9"
"1110","AC245297.3"
"1111","AC245297.2"
"1112","NBPF19"
"1113","FCGR1A"
"1114","HIST2H2BF"
"1115","AC243772.2"
"1116","HIST2H3D"
"1117","HIST2H4A"
"1118","HIST2H2AA3"
"1119","AC239868.3"
"1120","HIST2H2AA4"
"1121","HIST2H4B"
"1122","AC239868.2"
"1123","HIST2H2BE"
"1124","HIST2H2AC"
"1125","HIST2H2AB"
"1126","BOLA1"
"1127","SV2A"
"1128","SF3B4"
"1129","MTMR11"
"1130","OTUD7B"
"1131","VPS45"
"1132","PLEKHO1"
"1133","ANP32E"
"1134","AC242988.1"
"1135","CA14"
"1136","APH1A"
"1137","C1orf54"
"1138","CIART"
"1139","MRPS21"
"1140","PRPF3"
"1141","RPRD2"
"1142","TARS2"
"1143","ECM1"
"1144","FALEC"
"1145","AL356356.1"
"1146","ADAMTSL4"
"1147","MCL1"
"1148","ENSA"
"1149","GOLPH3L"
"1150","HORMAD1"
"1151","CTSS"
"1152","CTSK"
"1153","ARNT"
"1154","SETDB1"
"1155","CERS2"
"1156","ANXA9"
"1157","MINDY1"
"1158","PRUNE1"
"1159","BNIPL"
"1160","C1orf56"
"1161","CDC42SE1"
"1162","MLLT11"
"1163","GABPB2"
"1164","SEMA6C"
"1165","TNFAIP8L2"
"1166","SCNM1"
"1167","LYSMD1"
"1168","VPS72"
"1169","PIP5K1A"
"1170","PSMD4"
"1171","AL391069.2"
"1172","ZNF687"
"1173","PI4KB"
"1174","RFX5"
"1175","AL391069.3"
"1176","SELENBP1"
"1177","PSMB4"
"1178","POGZ"
"1179","CGN"
"1180","TUFT1"
"1181","SNX27"
"1182","AL391335.1"
"1183","CELF3"
"1184","MRPL9"
"1185","OAZ3"
"1186","TDRKH"
"1187","TDRKH-AS1"
"1188","THEM4"
"1189","S100A10"
"1190","S100A11"
"1191","TCHH"
"1192","FLG-AS1"
"1193","AL589986.2"
"1194","LOR"
"1195","S100A9"
"1196","S100A12"
"1197","S100A8"
"1198","S100A6"
"1199","S100A5"
"1200","S100A4"
"1201","S100A3"
"1202","S100A2"
"1203","S100A16"
"1204","S100A13"
"1205","S100A1"
"1206","AL162258.2"
"1207","CHTOP"
"1208","SNAPIN"
"1209","ILF2"
"1210","INTS3"
"1211","SLC27A3"
"1212","GATAD2B"
"1213","AL358472.5"
"1214","DENND4B"
"1215","CRTC2"
"1216","SLC39A1"
"1217","AL358472.4"
"1218","AL358472.3"
"1219","CREB3L4"
"1220","JTB"
"1221","AL358472.2"
"1222","RAB13"
"1223","RPS27"
"1224","NUP210L"
"1225","TPM3"
"1226","C1orf43"
"1227","UBAP2L"
"1228","HAX1"
"1229","ATP8B2"
"1230","IL6R-AS1"
"1231","IL6R"
"1232","SHE"
"1233","AL162591.2"
"1234","TDRD10"
"1235","UBE2Q1"
"1236","CHRNB2"
"1237","ADAR"
"1238","KCNN3"
"1239","PMVK"
"1240","AL451085.1"
"1241","PBXIP1"
"1242","PYGO2"
"1243","AL451085.2"
"1244","SHC1"
"1245","CKS1B"
"1246","FLAD1"
"1247","ZBTB7B"
"1248","DCST1-AS1"
"1249","ADAM15"
"1250","EFNA4"
"1251","EFNA3"
"1252","EFNA1"
"1253","SLC50A1"
"1254","DPM3"
"1255","KRTCAP2"
"1256","TRIM46"
"1257","MUC1"
"1258","AC234582.1"
"1259","THBS3"
"1260","MTX1"
"1261","GBA"
"1262","FAM189B"
"1263","SCAMP3"
"1264","CLK2"
"1265","HCN3"
"1266","PKLR"
"1267","FDPS"
"1268","RUSC1-AS1"
"1269","RUSC1"
"1270","ASH1L"
"1271","ASH1L-AS1"
"1272","MSTO1"
"1273","YY1AP1"
"1274","DAP3"
"1275","GON4L"
"1276","SYT11"
"1277","RIT1"
"1278","KHDC4"
"1279","ARHGEF2"
"1280","AL355388.2"
"1281","SSR2"
"1282","UBQLN4"
"1283","LAMTOR2"
"1284","MEX3A"
"1285","LMNA"
"1286","SEMA4A"
"1287","SLC25A44"
"1288","PMF1-BGLAP"
"1289","PMF1"
"1290","BGLAP"
"1291","PAQR6"
"1292","SMG5"
"1293","TMEM79"
"1294","GLMP"
"1295","CCT3"
"1296","TSACC"
"1297","C1orf61"
"1298","AL139412.1"
"1299","MEF2D"
"1300","IQGAP3"
"1301","NAXE"
"1302","GPATCH4"
"1303","HAPLN2"
"1304","AL365181.2"
"1305","BCAN"
"1306","NES"
"1307","AL590666.3"
"1308","CRABP2"
"1309","AL590666.1"
"1310","ISG20L2"
"1311","RRNAD1"
"1312","MRPL24"
"1313","HDGF"
"1314","PRCC"
"1315","SH2D2A"
"1316","NTRK1"
"1317","ARHGEF11"
"1318","ETV3L"
"1319","ETV3"
"1320","FCRL5"
"1321","FCRL3"
"1322","FCRL2"
"1323","FCRL1"
"1324","CD5L"
"1325","KIRREL1"
"1326","CD1D"
"1327","AL138899.1"
"1328","CD1A"
"1329","CD1C"
"1330","CD1B"
"1331","CD1E"
